order_id,payment_sequential,payment_type,payment_installments,payment_value
u6rPMRAYIGig,1,credit_card,2,155.77
ohY8f4FEbX19,1,credit_card,1,4.07
I28liQek73i2,1,wallet,1,381.59
bBG1T89mlY8W,1,credit_card,3,14.76
CYxJJSQS8Lbo,1,wallet,1,284.09
kUkQCFPtDvrC,1,credit_card,2,342.02
eV98svHRmPNG,1,credit_card,5,48.71
b2tsoISX5lnP,1,credit_card,1,204.4
O0D3th8M88nF,1,credit_card,3,997.37
yBTGlSf8GGMV,1,credit_card,3,204.62
OoHJ0WBqlxln,1,credit_card,2,57.57
qvrK7ROfp1w6,1,voucher,1,307.86
uNUwbkr3jhfD,1,wallet,1,21.55
j4hiZpWSGa1T,1,credit_card,3,4.18
6J3ZtW3UMsR9,1,wallet,1,257.42
CKtqZeTFa6Ov,1,credit_card,1,50.78
e7xeH7PfGWFM,1,credit_card,1,158.58
y7ICBanZzdHp,1,credit_card,4,162.62
bZFqy2PEMhhc,1,credit_card,1,159.82
ub5scd3uMflH,1,credit_card,1,277.25
