first_name,last_name,nickname,city,country,age,wins,losses,draws,win_percent,lose_percent,num_of_fights,weight_division,height_ft,weight_lbs,arm_reach_inch,leg_reach_inch,fighting_style,debut
Islam,Makhachev,NA,Dagestan Republic,Russia,33,26,1,0,96.29629629629629,3.7037037037037033,27,Lightweight Division,5.833333333333333,155,70.5,40.5,Sambo,2015-05-23
Jon,Jones,Bones,Rochester,United States,37,28,1,0,96.55172413793103,3.4482758620689653,29,Heavyweight Division,6.333333333333333,237.6,84.5,45,NA,2008-08-09
Alex,Pereira,Poatan,São Bernardo do Campo,Brazil,37,12,2,0,85.71428571428571,14.285714285714285,14,Light Heavyweight Division,6.333333333333333,205,79,44,Kickboxer,2021-11-06
Ilia,Topuria,El  Matador,NA,Germany,27,16,0,0,100,0,16,Featherweight Division,5.583333333333333,145,69,37,Brazilian Jiu-Jitsu,2020-10-10
Belal,Muhammad,Remember The Name,Chicago,United States,36,24,3,0,88.88888888888889,11.11111111111111,27,Welterweight Division,5.916666666666667,169,72,40,NA,2016-07-07
Dricus,Du Plessis,Stillknocks,Welkom,South Africa,30,22,2,0,91.66666666666666,8.333333333333332,24,Middleweight Division,6.083333333333333,185,76,43,MMA,2020-10-10
Merab,Dvalishvili,The Machine,Tbilisi,Georgia,33,18,4,0,81.81818181818183,18.181818181818183,22,Bantamweight Division,5.5,134,68,38,Freestyle,2017-12-09
Tom,Aspinall,NA,Salford,United Kingdom,31,15,3,0,83.33333333333334,16.666666666666664,18,Heavyweight Division,6.416666666666667,255,78,44,Freestyle,2020-03-21
Alexandre,Pantoja,The Cannibal,NA,Brazil,34,29,5,0,85.29411764705883,14.705882352941178,34,Flyweight Division,5.416666666666667,124.5,67,36.5,MMA,2017-01-29
Leon,Edwards,Rocky,Kingston,Jamaica,33,22,4,0,84.61538461538461,15.384615384615385,26,Welterweight Division,6,170,74,43,MMA,2014-11-09
Alexander,Volkanovski,The Great,Wollongong,Australia,36,26,4,0,86.66666666666667,13.333333333333334,30,Featherweight Division,5.5,144.5,71.5,36,NA,2016-10-15
Max,Holloway,Blessed,Oahu,United States,32,26,8,0,76.47058823529412,23.52941176470588,34,Featherweight Division,5.916666666666667,145,69,42,Muay Thai,2012-02-04
Sean,O'Malley,Suga,Helena,United States,30,18,2,0,90,10,20,Bantamweight Division,5.916666666666667,135,72,40,NA,2017-07-18
Sean,Strickland,NA,NA,United States,33,29,6,0,82.85714285714286,17.142857142857142,35,Middleweight Division,6.083333333333333,185,76,41.5,MMA,2014-03-15
Charles,Oliveira,Do Bronxs,State of São Paulo,Brazil,35,35,10,0,77.77777777777779,22.22222222222222,45,Lightweight Division,5.833333333333333,155.6,74,41,Jiu-Jitsu,2010-08-01
Brandon,Royval,Raw Dawg,Denver,United States,32,17,7,0,70.83333333333334,29.166666666666668,24,Flyweight Division,5.75,125.5,68,38.5,Brawler,2020-05-30
Brandon,Moreno,The Assassin Baby,Tijuana,Mexico,30,22,8,2,73.33333333333333,26.666666666666668,30,Flyweight Division,5.583333333333333,135,70,38,Jiu-Jitsu,2016-10-02
Amir,Albazi,The Prince,Baghdad,Iraq,31,17,2,0,89.47368421052632,10.526315789473683,19,Flyweight Division,5.416666666666667,125.5,68,38,Jiu-Jitsu,2020-07-18
Kai,Kara-France,Don't Blink,Auckland,New Zealand,31,25,11,0,69.44444444444444,30.555555555555557,36,Flyweight Division,5.333333333333333,125,69,37,Kickboxer,2018-12-02
Tatsuro,Taira,NA,NA,Japan,24,16,1,0,94.11764705882352,5.88235294117647,17,Flyweight Division,5.583333333333333,125.5,70,38,NA,2022-04-30
Manel,Kape,StarBoy,NA,Angola,31,20,7,0,74.07407407407408,25.925925925925924,27,Flyweight Division,5.416666666666667,125,68,39,MMA,2021-02-06
Alex,Perez,NA,Hanford,United States,32,25,9,0,73.52941176470588,26.47058823529412,34,Flyweight Division,5.5,126,65.5,38,Freestyle,2017-08-08
Asu,Almabayev ,Zulfikar,NA,Kazakhstan,30,21,2,0,91.30434782608695,8.695652173913043,23,Flyweight Division,5.333333333333333,125.5,65,36,NA,2023-08-05
Steve,Erceg,Astroboy,Perth,Australia,29,12,3,0,80,20,15,Flyweight Division,5.666666666666667,125.5,68,38,MMA,2023-05-20
Tim,Elliott,NA,NA,United States,37,21,13,1,61.76470588235294,38.23529411764706,34,Bantamweight Division,5.583333333333333,136,66,38,Freestyle,2012-05-05
Tagir,Ulanbekov,NA,Dagestan,Russia,33,16,2,0,88.88888888888889,11.11111111111111,18,Flyweight Division,5.583333333333333,129.5,70,39,Grappler,2020-10-10
Charles,Johnson,Inner G,Topeka,United States,33,17,6,0,73.91304347826086,26.08695652173913,23,Flyweight Division,5.75,126,70,40,NA,2022-07-23
Bruno,Silva,Bulldog,Piracicaba,Brazil,34,14,6,2,70,30,20,Flyweight Division,5.333333333333333,126,65,35,Grappler,2019-09-07
Joshua,Van,The Fearless,Hakha ,Myanmar (Burma),23,12,2,0,85.71428571428571,14.285714285714285,14,Flyweight Division,5.416666666666667,126,65,35,Freestyle,2023-06-24
Umar,Nurmagomedov,NA,Republic of Dagestan,Russia,28,18,0,0,100,0,18,Bantamweight Division,5.666666666666667,135,69,39,MMA,2021-01-20
Petr,Yan,No Mercy,Krasnoyarsk Krai,Russia,31,18,5,0,78.26086956521739,21.73913043478261,23,Bantamweight Division,5.625,135.5,67,38,Boxer,2018-06-23
Cory,Sandhagen,NA,Aurora,United States,32,17,5,0,77.27272727272727,22.727272727272727,22,Bantamweight Division,5.916666666666667,136,70,40,MMA,2018-01-28
Deiveson,Figueiredo,Deus da Guerra,Soure,Brazil,37,24,4,1,85.71428571428571,14.285714285714285,28,Bantamweight Division,5.416666666666667,135,68,38,Boxing,2017-06-03
Marlon,Vera,Chito,Chone,Ecuador,32,23,10,1,69.6969696969697,30.303030303030305,33,Bantamweight Division,5.666666666666667,136,70.5,40.5,Grappler,2014-11-15
Henry,Cejudo,Triple C,Los Angeles,United States,37,16,4,0,80,20,20,Bantamweight Division,5.333333333333333,135,64,37,Wrestling,2014-12-13
Song,Yadong,Kung Fu Kid,Heilongjiang,China,27,21,8,1,72.41379310344827,27.586206896551722,29,Bantamweight Division,5.666666666666667,136,67,38,Boxer,2017-11-25
Rob,Font,NA,Leominster,United States,37,21,8,0,72.41379310344827,27.586206896551722,29,Bantamweight Division,5.666666666666667,135.5,71.5,38.5,Striker,2014-07-05
Mario,Bautista,NA,Winnemucca,United States,31,15,2,0,88.23529411764706,11.76470588235294,17,Bantamweight Division,5.75,136,72,39,Freestyle,2019-01-19
Kyler,Phillips,The Matrix,Torrance,United States,29,12,3,0,80,20,15,Bantamweight Division,5.666666666666667,135.5,72,38,NA,2017-08-01
Aiemann,Zahabi,NA,Laval,Canada,37,12,2,0,85.71428571428571,14.285714285714285,14,Bantamweight Division,5.666666666666667,135.5,68.5,38,MMA,2017-02-20
