ProductKey,ProductSubcategoryKey,ProductName,ModelName,ProductDescription,ProductColor,ProductCost,ProductPrice
100,5,Motorola MB8600 Cable Modem,Motorola MB8600 Cable Modem Model 1,A Motorola MB8600 Cable Modem for Motorola MB8600 Cable Modem Model 1,red,205.74,741.88
101,5,D-Link DAP-1720 WiFi Range Extender,D-Link DAP-1720 WiFi Range Extender Model 2,A D-Link DAP-1720 WiFi Range Extender for D-Link DAP-1720 WiFi Range Extender Model 2,black,225.62,365.31
102,1,Alienware m15,Alienware m15 Model 3,A Alienware m15 for Alienware m15 Model 3,white,445.26,741.01
103,3,Harman Kardon SoundSticks III Speakers,Harman Kardon SoundSticks III Speakers Model 4,A Harman Kardon SoundSticks III Speakers for Harman Kardon SoundSticks III Speakers Model 4,black,215.52,795.94
104,5,Google Wifi,Google Wifi Model 5,A Google Wifi for Google Wifi Model 5,red,365.62,532.34
105,4,Native Union Belt Cable,Native Union Belt Cable Model 6,A Native Union Belt Cable for Native Union Belt Cable Model 6,black,376.99,212.92
106,2,Google Nest Audio,Google Nest Audio Model 7,A Google Nest Audio for Google Nest Audio Model 7,red,155.4,537.26
107,4,RavPower Portable Charger,RavPower Portable Charger Model 8,A RavPower Portable Charger for RavPower Portable Charger Model 8,red,386.06,265.97
108,4,Jackery Solar Generator,Jackery Solar Generator Model 9,A Jackery Solar Generator for Jackery Solar Generator Model 9,red,243.91,787.16
109,5,Linksys Velop Mesh WiFi Extender,Linksys Velop Mesh WiFi Extender Model 10,A Linksys Velop Mesh WiFi Extender for Linksys Velop Mesh WiFi Extender Model 10,black,331.28,708.0
110,3,Dell UltraSharp Monitor,Dell UltraSharp Monitor Model 11,A Dell UltraSharp Monitor for Dell UltraSharp Monitor Model 11,white,394.16,397.43
111,1,Dell Inspiron,Dell Inspiron Model 12,A Dell Inspiron for Dell Inspiron Model 12,black,230.11,708.29
112,2,Ultimate Ears Wonderboom 2,Ultimate Ears Wonderboom 2 Model 13,A Ultimate Ears Wonderboom 2 for Ultimate Ears Wonderboom 2 Model 13,red,335.46,391.29
113,2,JBL Flip 5,JBL Flip 5 Model 14,A JBL Flip 5 for JBL Flip 5 Model 14,black,454.39,381.98
114,4,Samsung Wireless Charger,Samsung Wireless Charger Model 15,A Samsung Wireless Charger for Samsung Wireless Charger Model 15,black,372.33,230.92
115,3,APC Back-UPS Pro UPS,APC Back-UPS Pro UPS Model 16,A APC Back-UPS Pro UPS for APC Back-UPS Pro UPS Model 16,white,239.54,498.83
116,5,Ubiquiti EdgeRouter X Router,Ubiquiti EdgeRouter X Router Model 17,A Ubiquiti EdgeRouter X Router for Ubiquiti EdgeRouter X Router Model 17,red,360.68,422.32
117,4,CyberPower CP1500PFCLCD UPS,CyberPower CP1500PFCLCD UPS Model 18,A CyberPower CP1500PFCLCD UPS for CyberPower CP1500PFCLCD UPS Model 18,white,188.74,274.92
118,3,Tomtoc Laptop Shoulder Bag,Tomtoc Laptop Shoulder Bag Model 19,A Tomtoc Laptop Shoulder Bag for Tomtoc Laptop Shoulder Bag Model 19,red,148.69,768.47
119,1,ASUS ZenBook,ASUS ZenBook Model 20,A ASUS ZenBook for ASUS ZenBook Model 20,white,175.86,484.68
120,2,Beats Studio3,Beats Studio3 Model 21,A Beats Studio3 for Beats Studio3 Model 21,black,324.21,694.05
121,2,Sony WH-1000XM4,Sony WH-1000XM4 Model 22,A Sony WH-1000XM4 for Sony WH-1000XM4 Model 22,white,313.52,651.61
122,2,Bose SoundLink Revolve,Bose SoundLink Revolve Model 23,A Bose SoundLink Revolve for Bose SoundLink Revolve Model 23,black,175.35,676.01
123,2,Audio-Technica ATH-M50x,Audio-Technica ATH-M50x Model 24,A Audio-Technica ATH-M50x for Audio-Technica ATH-M50x Model 24,black,454.91,283.52
124,1,HP Spectre,HP Spectre Model 25,A HP Spectre for HP Spectre Model 25,black,316.06,760.21
125,2,Bose SoundLink Revolve,Bose SoundLink Revolve Model 26,A Bose SoundLink Revolve for Bose SoundLink Revolve Model 26,white,342.8,278.72
126,3,LaCie Rugged Portable Hard Drive,LaCie Rugged Portable Hard Drive Model 27,A LaCie Rugged Portable Hard Drive for LaCie Rugged Portable Hard Drive Model 27,white,143.91,251.86
127,4,RavPower Portable Charger,RavPower Portable Charger Model 28,A RavPower Portable Charger for RavPower Portable Charger Model 28,red,316.17,560.7
128,5,NETGEAR Nighthawk Cable Modem Router,NETGEAR Nighthawk Cable Modem Router Model 29,A NETGEAR Nighthawk Cable Modem Router for NETGEAR Nighthawk Cable Modem Router Model 29,red,348.77,669.13
129,4,Apple MagSafe Charger,Apple MagSafe Charger Model 30,A Apple MagSafe Charger for Apple MagSafe Charger Model 30,red,343.59,359.2
130,5,ASUS RP-AC1900 WiFi Range Extender,ASUS RP-AC1900 WiFi Range Extender Model 31,A ASUS RP-AC1900 WiFi Range Extender for ASUS RP-AC1900 WiFi Range Extender Model 31,red,449.36,536.85
131,2,Plantronics BackBeat Go 810,Plantronics BackBeat Go 810 Model 32,A Plantronics BackBeat Go 810 for Plantronics BackBeat Go 810 Model 32,black,441.67,383.82
132,4,Moshi Otto Q Wireless Charger,Moshi Otto Q Wireless Charger Model 33,A Moshi Otto Q Wireless Charger for Moshi Otto Q Wireless Charger Model 33,red,207.33,275.19
133,1,ASUS ROG Zephyrus,ASUS ROG Zephyrus Model 34,A ASUS ROG Zephyrus for ASUS ROG Zephyrus Model 34,white,207.66,273.05
134,3,Sennheiser HD 660 S Headphones,Sennheiser HD 660 S Headphones Model 35,A Sennheiser HD 660 S Headphones for Sennheiser HD 660 S Headphones Model 35,black,269.48,283.49
135,3,Logitech MX Master 3 Mouse,Logitech MX Master 3 Mouse Model 36,A Logitech MX Master 3 Mouse for Logitech MX Master 3 Mouse Model 36,red,401.47,321.29
136,4,Anker PowerLine+ Lightning Cable,Anker PowerLine+ Lightning Cable Model 37,A Anker PowerLine+ Lightning Cable for Anker PowerLine+ Lightning Cable Model 37,black,318.15,391.0
