dataset_id,relationships
D2025051500161503000025345014,"indexData 与 indexInfo 是多对一的关系，indexData 的关联字段为[index], indexInfo 的关联字段为 [index]"
D2025050900161503000025235209,"sales 与 price 是多对一的关系，sales 的关联字段为[product_name], price 的关联字段为 [name] "
D2025050900161503000025254837,"events 与 users 是多对一的关系，events 的关联字段为[user_id],users 的关联字段为 [id] | events 与 items 是多对一的关系，events 的关联字段为[item_id], items 的关联字段为 [id]"
D2025050900161503000025255333,"sales 与 stores 是多对一的关系，sales 的关联字段为[store], stores 的关联字段为 [store] | features 与 stores 是多对一的关系，features 的关联字段为[store], stores 的关联字段为 [store]"
D2025050900161503000025255013,"inventory 与 stores 是多对一的关系，inventory 的关联字段为[store_id], stores 的关联字段为 [store_id] | sales 与 stores 是多对一的关系，sales 的关联字段为[store_id], stores 的关联字段为 [store_id] | sales 与 products 是多对一的关系，sales 的关联字段为[product_id],products 的关联字段为 [product_id]"
D2025050900161503000025254500,"CardBase 与 CustomerBase 是多对一的关系，CardBase 的关联字段为[cust_id], CustomerBase 的关联字段为 [cust_id] | TransactionBase 与 CardBase 是多对一的关系，TransactionBase 的关联字段为[credit_card_id],CardBase 的关联字段为 [card_number] | TransactionBase 与 FraudBase 是一对一的关系，TransactionBase 的关联字段为[transaction_id], FraudBase 的关联字段为 [transaction_id]"
D2025050900161503000025247777,"Marks 与 Subjects 是多对一的关系，Marks 的关联字段为[subjectid], Subjects 的关联字段为 [subjectid] | Marks 与 Teachers 是多对一的关系，Marks 的关联字段为[teacherid], Teachers 的关联字段为 [teacherid] | Marks 与 Students 是多对一的关系，Marks 的关联字段为[studentid], Students 的关联字段为 [studentid]"
D2025050900161503000025236921,"OrderItems 与 Products 是多对一的关系，OrderItems 的关联字段为[product_id], Products 的关联字段为 [product_id] | Orders 与 Customers 是多对一的关系，Orders 的关联字段为[customer_id], Customers 的关联字段为 [customer_id] | OrdeItems 与 Orders 是多对一的关系，OrderItems 的关联字段为[order_id], Orders 的关联字段为 [order_id] | Payments 与 Orders 是多对一的关系，Payments 的关联字段为[order_id], Orders 的关联字段为 [order_id]"
D2025051200161503000025280880,"richest_countries 与 tourism 是一对一的关系，richest_countries 的关联字段为[country], tourism 的关联字段为 [country] | richest_countries 与 unemployment 是一对一的关系，richest_countries 的关联字段为[country], unemployment 的关联字段为 [country] | tourism 与 cost_of_living 是一对一的关系，tourism 的关联字段为[country], cost_of_living 的关联字段为 [country] | unemployment 与 corruption 是一对一的关系，unemployment 的关联字段为[country], corruption 的关联字段为 [country]"
D2025060500161503000025843473,"life_expectancy_verbose 与 drinks 是一对一的关系，life_expectancy_verbose 的关联字段为[countrydisplay], drinks 的关联字段为 [country]"
D2025060500161503000025835207,"rides 与 drivers 是多对一的关系，rides 的关联字段为[driver_id], drivers 的关联字段为 [driver_id]"
D2025060300161503000025782502,"e_orders 与 e_products 是多对一的关系，e_orders 的关联字段为[productid], e_products 的关联字段为 [productid] | e_orders 与 e_customers 是多对一的关系，e_orders 的关联字段为[customerid], e_customers 的关联字段为 [customerid]"
D2025060400161503000025818558,"events_stats 与 country_data 是多对一的关系，events_stats 的关联字段为[country], country_data 的关联字段为 [country] | events_stats 与 fighters_stats 是多对一的关系，events_stats 的关联字段为[fighter_1], fighters_stats 的关联字段为 [last_name]"
D2025060300161503000025786454,"battles 与 aliens 是多对一的关系，battles 的关联字段为[alien_name], aliens 的关联字段为 [alien_name] | enemies 与 aliens 是多对一的关系，enemies 的关联字段为[alien_name], aliens 的关联字段为 [alien_name]"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
