order_id,product_id,seller_id,price,shipping_charges
u6rPMRAYIGig,1slxdgbgWFax,3jwvL6ihC45G,24.1,20.9
ohY8f4FEbX19,77PgsiElQLeB,GlLj704QXlDB,42.89,12.28
I28liQek73i2,QVlD26X1y7NI,V3iKL8r9W9NR,50.21,67.11
bBG1T89mlY8W,yWlFGkKYfrpa,RNBdBKsXebna,89.1,62.05
CYxJJSQS8Lbo,h6MCbrwh5kiC,5Ja2lH0N2OZt,2139.99,9.41
kUkQCFPtDvrC,CApN1zdCu8Ad,smK689qrlIx3,84.55,20.65
eV98svHRmPNG,HOJj2KbHY8er,9hrosJpQLxRs,23.95,23.87
b2tsoISX5lnP,bKrL5OryV9HU,SSiPMxP6t9t9,692.0,44.59
O0D3th8M88nF,7ba9znpcLheP,WTbhLip6Y9IF,649.75,39.88
yBTGlSf8GGMV,TLhoqYaQLJ5g,ynoKalx03eHF,518.18,2.46
OoHJ0WBqlxln,EG4wDSpFyTth,TuPm19CMKvrM,58.1,26.26
qvrK7ROfp1w6,hoFRvSkFE7Xv,2jTASjIU2rIf,420.07,30.66
uNUwbkr3jhfD,YLYPEDYgvdfH,3e9JGBdDRF6C,318.33,27.73
j4hiZpWSGa1T,XnVJHXWoT9t9,Q2NwKBfUdtHW,34.0,60.03
6J3ZtW3UMsR9,cDHQRx6Mr5x7,XLxN4hdOlYco,52.0,42.76
CKtqZeTFa6Ov,cKboTGrWp54z,OfafuCsnlLjb,509.99,56.8
e7xeH7PfGWFM,MUIEAN159RuU,kYHploWLdvqh,820.05,47.55
y7ICBanZzdHp,W5lSpNbHbIjE,fsdM6QZEnGMM,692.0,46.76
bZFqy2PEMhhc,claM69kKTNfa,EZZCNVOVjDlq,74.89,131.63
ub5scd3uMflH,aUvBxYvPYgvN,l1pYW6GBnPMr,820.0,47.55
