product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
1slxdgbgWFax,toys,50.0,16.0,5.0,11.0
77PgsiElQLeB,electronics,200.0,21.0,7.0,14.0
QVlD26X1y7NI,furniture_decor,1000.0,100.0,5.0,20.0
yWlFGkKYfrpa,toys,8950.0,40.0,30.0,40.0
h6MCbrwh5kiC,toys,2301.0,32.0,35.0,34.0
CApN1zdCu8Ad,toys,400.0,22.0,27.0,27.0
HOJj2KbHY8er,toys,12850.0,36.0,56.0,56.0
bKrL5OryV9HU,toys,18800.0,60.0,40.0,42.0
7ba9znpcLheP,toys,375.0,16.0,8.0,11.0
TLhoqYaQLJ5g,toys,200.0,16.0,16.0,16.0
EG4wDSpFyTth,health_beauty,250.0,22.0,10.0,18.0
hoFRvSkFE7Xv,home_appliances,950.0,25.0,11.0,15.0
YLYPEDYgvdfH,toys,250.0,23.0,13.0,21.0
XnVJHXWoT9t9,toys,3100.0,30.0,30.0,30.0
cDHQRx6Mr5x7,toys,100.0,19.0,3.0,11.0
cKboTGrWp54z,toys,2600.0,17.0,17.0,60.0
MUIEAN159RuU,baby,450.0,30.0,7.0,20.0
W5lSpNbHbIjE,toys,1150.0,33.0,4.0,28.0
claM69kKTNfa,toys,450.0,27.0,16.0,27.0
aUvBxYvPYgvN,toys,350.0,17.0,4.0,12.0
