OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,OrderLineItem,OrderQuantity
04/29/2022,05/23/2022,1,200,42,1,1
12/14/2022,08/20/2022,2,150,623,1,1
08/12/2022,12/09/2022,3,207,1236,1,1
12/18/2022,09/06/2022,4,143,1105,1,1
01/05/2022,02/16/2022,5,161,945,1,1
03/10/2022,07/26/2022,6,193,850,1,1
12/20/2022,08/17/2022,7,136,852,1,1
08/29/2022,07/04/2022,8,102,1220,1,1
11/09/2022,08/22/2022,9,167,378,1,1
09/10/2022,01/21/2022,10,121,931,1,1
01/22/2022,11/05/2022,11,160,81,1,1
08/27/2022,08/01/2022,12,106,732,1,1
04/16/2022,12/01/2022,13,151,1455,1,1
04/24/2022,04/29/2022,14,104,1607,1,1
01/03/2022,09/13/2022,15,161,1228,1,1
07/28/2022,01/18/2022,16,162,31,1,1
05/31/2022,04/11/2022,17,141,1541,1,1
04/20/2022,02/21/2022,18,202,1754,1,1
08/15/2022,10/09/2022,19,103,328,1,1
09/08/2022,09/09/2022,20,119,307,1,1
05/25/2022,07/13/2022,21,193,151,1,1
08/17/2022,09/07/2022,22,122,1715,1,1
10/05/2022,02/17/2022,23,166,1796,1,1
10/23/2022,09/23/2022,24,115,1417,1,1
05/11/2022,04/19/2022,25,108,534,1,1
01/24/2022,01/27/2022,26,177,912,1,1
10/15/2022,01/18/2022,27,139,1651,1,1
11/24/2022,08/18/2022,28,179,141,1,1
09/06/2022,06/11/2022,29,175,1679,1,1
03/03/2022,05/29/2022,30,192,1112,1,1
02/10/2022,04/08/2022,31,145,547,1,1
08/29/2022,12/29/2022,32,131,1625,1,1
11/28/2022,02/01/2022,33,160,1876,1,1
05/03/2022,07/11/2022,34,200,970,1,1
11/22/2022,05/20/2022,35,186,1481,1,1
12/18/2022,05/29/2022,36,171,1189,1,1
06/06/2022,07/15/2022,37,195,64,1,1
09/02/2022,01/13/2022,38,159,1099,1,1
04/21/2022,08/10/2022,39,100,1951,1,1
01/01/2022,12/21/2022,40,151,1972,1,1
09/25/2022,12/22/2022,41,168,1557,1,1
12/21/2022,11/24/2022,42,121,1603,1,1
06/04/2022,09/03/2022,43,205,411,1,1
02/03/2022,08/24/2022,44,136,1374,1,1
10/17/2022,08/04/2022,45,198,984,1,1
07/05/2022,12/16/2022,46,150,665,1,1
07/28/2022,06/12/2022,47,125,1199,1,1
09/12/2022,03/26/2022,48,203,1458,1,1
02/05/2022,06/04/2022,49,189,1187,1,1
06/19/2022,07/14/2022,50,134,1622,1,1
06/23/2022,01/15/2022,51,181,1429,1,1
03/04/2022,11/12/2022,52,123,1972,1,1
03/18/2022,02/27/2022,53,195,1797,1,1
05/29/2022,04/27/2022,54,129,427,1,1
07/05/2022,11/17/2022,55,146,1316,1,1
05/07/2022,05/17/2022,56,122,95,1,1
01/23/2022,11/25/2022,57,160,1732,1,1
02/05/2022,01/16/2022,58,139,8,1,1
08/22/2022,12/10/2022,59,108,1190,1,1
05/25/2022,06/11/2022,60,188,1280,1,1
03/09/2022,07/16/2022,61,189,487,1,1
09/29/2022,09/16/2022,62,188,1021,1,1
10/20/2022,07/21/2022,63,172,1237,1,1
12/28/2022,05/10/2022,64,122,716,1,1
02/24/2022,08/20/2022,65,101,335,1,1
12/27/2022,07/06/2022,66,196,1667,1,1
01/08/2022,10/06/2022,67,148,1573,1,1
09/23/2022,06/09/2022,68,109,1718,1,1
09/17/2022,10/06/2022,69,114,1944,1,1
05/28/2022,12/30/2022,70,202,1003,1,1
06/25/2022,11/27/2022,71,168,1467,1,1
08/01/2022,01/28/2022,72,183,1477,1,1
01/05/2022,08/14/2022,73,114,824,1,1
04/18/2022,06/15/2022,74,111,849,1,1
07/25/2022,06/28/2022,75,182,1886,1,1
05/31/2022,11/28/2022,76,120,1056,1,1
10/01/2022,12/31/2022,77,137,852,1,1
01/01/2022,10/24/2022,78,191,444,1,1
05/22/2022,04/16/2022,79,151,1840,1,1
05/31/2022,02/13/2022,80,129,1725,1,1
08/03/2022,10/29/2022,81,189,383,1,1
04/14/2022,03/20/2022,82,137,1503,1,1
03/04/2022,05/13/2022,83,140,345,1,1
07/31/2022,06/17/2022,84,167,1829,1,1
05/26/2022,01/23/2022,85,136,1146,1,1
08/25/2022,12/08/2022,86,133,736,1,1
11/11/2022,05/17/2022,87,177,441,1,1
06/20/2022,01/18/2022,88,211,830,1,1
08/28/2022,12/22/2022,89,207,568,1,1
10/22/2022,04/15/2022,90,122,386,1,1
07/11/2022,04/06/2022,91,111,1327,1,1
12/15/2022,07/19/2022,92,201,1368,1,1
04/01/2022,02/25/2022,93,198,25,1,1
03/25/2022,08/03/2022,94,130,1524,1,1
11/10/2022,09/06/2022,95,174,827,1,1
06/06/2022,05/22/2022,96,201,199,1,1
02/12/2022,01/13/2022,97,101,1114,1,1
07/15/2022,11/03/2022,98,134,437,1,1
07/05/2022,08/08/2022,99,103,888,1,1
04/12/2022,05/09/2022,100,210,1878,1,1
06/17/2022,02/16/2022,101,206,780,1,1
12/19/2022,12/16/2022,102,164,1905,1,1
01/26/2022,07/31/2022,103,163,1822,1,1
06/14/2022,11/05/2022,104,105,368,1,1
03/27/2022,10/24/2022,105,157,717,1,1
05/11/2022,02/13/2022,106,202,1681,1,1
05/14/2022,03/14/2022,107,206,752,1,1
05/10/2022,01/12/2022,108,207,776,1,1
09/04/2022,10/17/2022,109,195,1466,1,1
08/10/2022,03/18/2022,110,191,479,1,1
10/26/2022,06/06/2022,111,166,736,1,1
02/15/2022,10/19/2022,112,182,1892,1,1
02/22/2022,10/10/2022,113,180,707,1,1
09/15/2022,03/29/2022,114,141,75,1,1
07/26/2022,11/07/2022,115,208,263,1,1
12/23/2022,11/12/2022,116,145,551,1,1
12/31/2022,10/08/2022,117,124,1926,1,1
06/02/2022,11/06/2022,118,186,1256,1,1
04/06/2022,11/20/2022,119,118,53,1,1
03/02/2022,07/06/2022,120,199,1386,1,1
04/28/2022,02/05/2022,121,121,1942,1,1
10/31/2022,07/25/2022,122,156,1933,1,1
11/14/2022,11/03/2022,123,141,100,1,1
09/13/2022,12/22/2022,124,123,1182,1,1
05/26/2022,08/31/2022,125,104,884,1,1
09/04/2022,07/07/2022,126,152,709,1,1
05/15/2022,01/08/2022,127,114,1535,1,1
09/12/2022,08/12/2022,128,205,1417,1,1
07/05/2022,01/07/2022,129,115,225,1,1
07/30/2022,04/23/2022,130,198,588,1,1
11/03/2022,11/15/2022,131,206,1723,1,1
05/08/2022,09/23/2022,132,167,1068,1,1
10/18/2022,06/02/2022,133,182,440,1,1
06/05/2022,06/07/2022,134,101,1985,1,1
07/17/2022,02/28/2022,135,150,1272,1,1
01/12/2022,03/11/2022,136,126,1568,1,1
01/08/2022,11/25/2022,137,175,759,1,1
05/21/2022,01/29/2022,138,173,571,1,1
07/20/2022,08/01/2022,139,158,545,1,1
10/09/2022,09/02/2022,140,185,151,1,1
08/25/2022,07/24/2022,141,204,736,1,1
03/28/2022,11/07/2022,142,121,1421,1,1
07/19/2022,06/03/2022,143,134,317,1,1
01/05/2022,08/02/2022,144,126,680,1,1
10/09/2022,08/10/2022,145,198,142,1,1
02/01/2022,10/05/2022,146,189,123,1,1
05/10/2022,02/27/2022,147,154,454,1,1
09/11/2022,11/28/2022,148,181,801,1,1
11/12/2022,05/22/2022,149,167,1741,1,1
07/09/2022,12/17/2022,150,208,1151,1,1
04/20/2022,11/09/2022,151,209,1392,1,1
12/16/2022,09/13/2022,152,126,928,1,1
03/22/2022,01/27/2022,153,148,968,1,1
01/02/2022,09/11/2022,154,207,988,1,1
05/19/2022,09/06/2022,155,147,1417,1,1
07/17/2022,12/16/2022,156,198,515,1,1
07/11/2022,03/12/2022,157,105,1955,1,1
01/07/2022,08/24/2022,158,196,1825,1,1
05/17/2022,09/04/2022,159,163,54,1,1
01/19/2022,08/17/2022,160,187,945,1,1
06/19/2022,03/17/2022,161,152,366,1,1
07/25/2022,01/11/2022,162,118,229,1,1
10/02/2022,04/03/2022,163,173,712,1,1
09/24/2022,07/02/2022,164,119,596,1,1
08/01/2022,02/24/2022,165,179,422,1,1
07/12/2022,03/08/2022,166,150,510,1,1
08/24/2022,05/31/2022,167,157,921,1,1
03/10/2022,01/28/2022,168,112,979,1,1
05/31/2022,10/10/2022,169,126,91,1,1
08/30/2022,06/06/2022,170,189,1501,1,1
04/30/2022,10/11/2022,171,107,1311,1,1
08/24/2022,06/30/2022,172,127,488,1,1
03/05/2022,03/26/2022,173,190,549,1,1
10/15/2022,01/17/2022,174,136,626,1,1
11/18/2022,01/13/2022,175,191,357,1,1
04/12/2022,07/29/2022,176,145,126,1,1
07/08/2022,07/29/2022,177,175,1933,1,1
08/02/2022,10/29/2022,178,142,1019,1,1
02/18/2022,02/20/2022,179,147,1961,1,1
07/10/2022,08/07/2022,180,171,598,1,1
11/11/2022,07/14/2022,181,190,606,1,1
07/23/2022,03/09/2022,182,125,640,1,1
12/14/2022,12/27/2022,183,181,1669,1,1
08/27/2022,11/09/2022,184,149,248,1,1
05/31/2022,06/04/2022,185,206,90,1,1
06/29/2022,12/22/2022,186,107,1357,1,1
06/29/2022,10/27/2022,187,186,1969,1,1
11/27/2022,03/17/2022,188,144,1900,1,1
09/07/2022,10/22/2022,189,207,1230,1,1
04/09/2022,09/06/2022,190,106,674,1,1
06/18/2022,04/23/2022,191,167,1133,1,1
12/20/2022,11/29/2022,192,125,1285,1,1
01/13/2022,09/06/2022,193,190,561,1,1
10/09/2022,07/06/2022,194,202,1666,1,1
01/12/2022,08/06/2022,195,184,666,1,1
02/22/2022,04/28/2022,196,104,122,1,1
01/25/2022,04/14/2022,197,186,1491,1,1
08/11/2022,04/16/2022,198,170,38,1,1
08/13/2022,12/16/2022,199,105,320,1,1
02/21/2022,03/09/2022,200,165,705,1,1
12/23/2022,04/18/2022,201,134,1670,1,1
02/23/2022,05/29/2022,202,168,1652,1,1
05/04/2022,07/03/2022,203,197,73,1,1
08/05/2022,12/12/2022,204,175,764,1,1
11/12/2022,01/16/2022,205,133,716,1,1
02/08/2022,12/05/2022,206,205,1153,1,1
04/19/2022,07/02/2022,207,138,432,1,1
08/14/2022,06/12/2022,208,170,1722,1,1
10/15/2022,03/07/2022,209,202,146,1,1
03/02/2022,04/20/2022,210,134,1732,1,1
01/10/2022,03/02/2022,211,189,114,1,1
03/07/2022,02/26/2022,212,199,263,1,1
03/21/2022,03/31/2022,213,146,1785,1,1
07/31/2022,05/25/2022,214,180,1277,1,1
11/10/2022,01/03/2022,215,199,344,1,1
07/30/2022,05/23/2022,216,148,1566,1,1
04/09/2022,05/10/2022,217,191,1893,1,1
01/01/2022,11/07/2022,218,165,890,1,1
11/16/2022,05/10/2022,219,161,655,1,1
08/10/2022,05/24/2022,220,137,1736,1,1
02/20/2022,06/17/2022,221,193,768,1,1
05/10/2022,01/28/2022,222,198,23,1,1
09/16/2022,07/29/2022,223,177,188,1,1
08/13/2022,04/12/2022,224,120,1012,1,1
02/15/2022,02/11/2022,225,180,1076,1,1
06/10/2022,12/12/2022,226,122,668,1,1
05/05/2022,05/28/2022,227,184,1807,1,1
09/08/2022,12/28/2022,228,144,1499,1,1
01/03/2022,06/02/2022,229,179,700,1,1
01/22/2022,07/06/2022,230,162,1928,1,1
06/25/2022,02/03/2022,231,210,170,1,1
10/05/2022,05/11/2022,232,119,1337,1,1
10/09/2022,07/02/2022,233,190,875,1,1
07/17/2022,08/26/2022,234,149,1890,1,1
10/22/2022,04/29/2022,235,112,1276,1,1
